academic_program_code,alias_type,alias_name,normalized_alias_name,source
U04050100058,display_name,공과대학 발전공학과,공과대학발전공학과,2026_department_classification
U04050100059,official_name,전기컴퓨터공학부,전기컴퓨터공학부,2026_department_classification
U04050100059,display_name,공과대학 전기컴퓨터공학부,공과대학전기컴퓨터공학부,2026_department_classification
U04050100060,official_name,전기컴퓨터공학부 전기공학전공,전기컴퓨터공학부전기공학전공,2026_department_classification
U04050100060,display_name,공과대학 전기컴퓨터공학부 전기공학전공,공과대학전기컴퓨터공학부전기공학전공,2026_department_classification
U04050100081,official_name,전기전자공학부 전기공학전공,전기전자공학부전기공학전공,2026_department_classification
U04050100081,display_name,공과대학 전기전자공학부 전기공학전공,공과대학전기전자공학부전기공학전공,2026_department_classification
U04050200028,official_name,전자공학과,전자공학과,2026_department_classification
U04050200028,display_name,공과대학 전자공학과,공과대학전자공학과,2026_department_classification
U04050200040,official_name,전자전기공학부,전자전기공학부,2026_department_classification
U04050200040,display_name,공과대학 전자전기공학부,공과대학전자전기공학부,2026_department_classification
U04050200220,official_name,전기전자공학부 전자공학전공,전기전자공학부전자공학전공,2026_department_classification
U04050200220,display_name,공과대학 전기전자공학부 전자공학전공,공과대학전기전자공학부전자공학전공,2026_department_classification
U04060200130,official_name,EES융합전공,ees융합전공,2026_department_classification
U04060200130,display_name,단과대구분없음 EES융합전공,단과대구분없음ees융합전공,2026_department_classification
U04070100084,official_name,전기전자공학부 반도체공학전공,전기전자공학부반도체공학전공,2026_department_classification
U04070100084,display_name,공과대학 전기전자공학부 반도체공학전공,공과대학전기전자공학부반도체공학전공,2026_department_classification
U04070300092,official_name,유기소재시스템공학과,유기소재시스템공학과,2026_department_classification
U04070300092,display_name,공과대학 유기소재시스템공학과,공과대학유기소재시스템공학과,2026_department_classification
U04070300093,official_name,나노소재공학과,나노소재공학과,2026_department_classification
U04070300093,display_name,나노과학기술대학 나노소재공학과,나노과학기술대학나노소재공학과,2026_department_classification
U04070300120,official_name,나노응용공학과,나노응용공학과,2026_department_classification
U04070300120,display_name,나노과학기술대학 나노응용공학과,나노과학기술대학나노응용공학과,2026_department_classification
U04070400012,official_name,재료공학부,재료공학부,2026_department_classification
U04070400012,display_name,공과대학 재료공학부,공과대학재료공학부,2026_department_classification
U04080100276,official_name,전기컴퓨터공학부 정보컴퓨터공학전공,전기컴퓨터공학부정보컴퓨터공학전공,2026_department_classification
U04080100276,display_name,공과대학 전기컴퓨터공학부 정보컴퓨터공학전공,공과대학전기컴퓨터공학부정보컴퓨터공학전공,2026_department_classification
U04080100419,official_name,정보컴퓨터공학부 컴퓨터공학전공,정보컴퓨터공학부컴퓨터공학전공,2026_department_classification
U04080100419,display_name,정보의생명공학대학 정보컴퓨터공학부 컴퓨터공학전공,정보의생명공학대학정보컴퓨터공학부컴퓨터공학전공,2026_department_classification
U04080100429,official_name,정보컴퓨터공학부 인공지능전공,정보컴퓨터공학부인공지능전공,2026_department_classification
U04080100429,display_name,정보의생명공학대학 정보컴퓨터공학부 인공지능전공,정보의생명공학대학정보컴퓨터공학부인공지능전공,2026_department_classification
